,departure,arrival,continental
0,NE,NG,1
13,NE,RW,1
16,NE,ST,1
18,NE,SN,1
19,NE,SC,1
20,NE,SL,1
25,NE,SO,1
26,NE,ZA,1
27,NE,SS,1
30,NE,SD,1
37,NE,TG,1
43,NE,UG,1
46,NE,TZ,1
53,NE,ZM,1
54,NE,ZW,1
0,GN,GW,1
16,GN,KE,1
22,GN,LS,1
23,GN,LR,1
28,GN,MG,1
29,GN,MW,1
32,GN,ML,1
35,GN,MR,1
36,GN,MU,1
42,GN,MZ,1
44,GN,,1
51,GN,NG,1
65,GN,RW,1
68,GN,ST,1
70,GN,SN,1
71,GN,SC,1
72,GN,SL,1
77,GN,SO,1
78,GN,ZA,1
79,GN,SS,1
82,GN,SD,1
89,GN,TG,1
95,GN,UG,1
98,GN,TZ,1
105,GN,ZM,1
106,GN,ZW,1
0,AT,AZ,1
1,AT,BY,1
2,AT,BE,1
3,BA,AT,1
4,AT,BG,1
5,AT,HR,1
6,AT,CY,1
7,CZ,AT,1
8,AT,DK,1
9,AT,EG,1
10,AT,EE,1
11,AT,FI,1
12,AT,FR,1
13,AT,GE,1
14,AT,DE,1
15,AT,GR,1
16,AT,HU,1
17,AT,IS,1
18,AT,IT,1
19,AT,LV,1
20,AT,LY,1
21,AT,LI,1
22,AT,LT,1
23,AT,LU,1
24,AT,MT,1
25,AT,MC,1
26,AT,MA,1
27,AT,NL,1
28,AT,NO,1
29,AT,PL,1
30,AT,PT,1
31,AT,MD,1
32,AT,RO,1
33,AT,RU,1
34,AT,SM,1
35,AT,SK,1
36,AT,SI,1
37,AT,ES,1
38,AT,SE,1
39,AT,CH,1
40,AT,TN,1
41,AT,TR,1
42,AT,UA,1
43,AT,GB,1
44,AZ,BY,1
45,AZ,BE,1
46,BA,AZ,1
47,AZ,BG,1
48,AZ,HR,1
49,AZ,CY,1
50,CZ,AZ,1
51,AZ,DK,1
52,AZ,EG,1
53,AZ,EE,1
54,AZ,FI,1
55,AZ,FR,1
56,AZ,GE,1
57,AZ,DE,1
58,AZ,GR,1
59,AZ,HU,1
60,AZ,IS,1
61,AZ,IT,1
62,AZ,LV,1
63,AZ,LY,1
64,AZ,LI,1
65,AZ,LT,1
66,AZ,LU,1
67,AZ,MT,1
68,AZ,MC,1
69,AZ,MA,1
70,AZ,NL,1
71,AZ,NO,1
72,AZ,PL,1
73,AZ,PT,1
74,AZ,MD,1
75,AZ,RO,1
76,AZ,RU,1
77,AZ,SM,1
78,AZ,SK,1
79,AZ,SI,1
80,AZ,ES,1
81,AZ,SE,1
82,AZ,CH,1
83,AZ,TN,1
84,AZ,TR,1
85,AZ,UA,1
86,AZ,GB,1
87,BS,BB,1
88,BS,BZ,1
89,BS,CA,1
90,BS,CR,1
91,BS,CU,1
92,BS,DM,1
93,BS,SV,1
94,BS,GD,1
95,BS,GT,1
96,BS,HT,1
97,BS,HN,1
98,BS,JM,1
99,BS,MX,1
100,BS,NI,1
101,BS,PA,1
102,TT,BS,1
103,BS,US,1
104,BH,BD,1
105,BH,BT,1
106,BH,BN,1
107,BH,KH,1
108,BH,CN,1
109,BH,IN,1
110,BH,ID,1
111,BH,IR,1
112,BH,IQ,1
113,BH,IL,1
114,BH,JP,1
115,BH,JO,1
116,BH,KZ,1
117,BH,KW,1
118,BH,KG,1
119,LA,BH,1
120,BH,LB,1
121,BH,MY,1
122,BH,MV,1
123,BH,MN,1
124,BH,MM,1
125,BH,NP,1
126,BH,PK,1
127,BH,PH,1
128,BH,QA,1
129,KR,BH,1
130,BH,SA,1
131,BH,SG,1
132,BH,LK,1
133,BH,TJ,1
134,BH,TH,1
135,BH,TL,1
136,BH,TM,1
137,AE,BH,1
138,BH,UZ,1
139,BH,VN,1
140,BD,BT,1
141,BD,BN,1
142,BD,KH,1
143,BD,CN,1
144,BD,IN,1
145,BD,ID,1
146,BD,IR,1
147,BD,IQ,1
148,BD,IL,1
149,BD,JP,1
150,BD,JO,1
151,BD,KZ,1
152,BD,KW,1
153,BD,KG,1
154,LA,BD,1
155,BD,LB,1
156,BD,MY,1
157,BD,MV,1
158,BD,MN,1
159,BD,MM,1
160,BD,NP,1
161,BD,PK,1
162,BD,PH,1
163,BD,QA,1
164,KR,BD,1
165,BD,SA,1
166,BD,SG,1
167,BD,LK,1
168,BD,TJ,1
169,BD,TH,1
170,BD,TL,1
171,BD,TM,1
172,AE,BD,1
173,BD,UZ,1
174,BD,VN,1
175,BB,BZ,1
176,BB,CA,1
177,BB,CR,1
178,BB,CU,1
179,BB,DM,1
180,BB,SV,1
181,BB,GD,1
182,BB,GT,1
183,BB,HT,1
184,BB,HN,1
185,BB,JM,1
186,BB,MX,1
187,BB,NI,1
188,BB,PA,1
189,TT,BB,1
190,BB,US,1
191,BY,BE,1
192,BA,BY,1
193,BY,BG,1
194,BY,HR,1
195,BY,CY,1
196,CZ,BY,1
197,BY,DK,1
198,BY,EG,1
199,BY,EE,1
200,BY,FI,1
201,BY,FR,1
202,BY,GE,1
203,BY,DE,1
204,BY,GR,1
205,BY,HU,1
206,BY,IS,1
207,BY,IT,1
208,BY,LV,1
209,BY,LY,1
210,BY,LI,1
211,BY,LT,1
212,BY,LU,1
213,BY,MT,1
214,BY,MC,1
215,BY,MA,1
216,BY,NL,1
217,BY,NO,1
218,BY,PL,1
219,BY,PT,1
220,BY,MD,1
221,BY,RO,1
222,BY,RU,1
223,BY,SM,1
224,BY,SK,1
225,BY,SI,1
226,BY,ES,1
227,BY,SE,1
228,BY,CH,1
229,BY,TN,1
230,BY,TR,1
231,BY,UA,1
232,BY,GB,1
233,BA,BE,1
234,BE,BG,1
235,BE,HR,1
236,BE,CY,1
237,CZ,BE,1
238,BE,DK,1
239,BE,EG,1
240,BE,EE,1
241,BE,FI,1
242,BE,FR,1
243,BE,GE,1
244,BE,DE,1
245,BE,GR,1
246,BE,HU,1
247,BE,IS,1
248,BE,IT,1
249,BE,LV,1
250,BE,LY,1
251,BE,LI,1
252,BE,LT,1
253,BE,LU,1
254,BE,MT,1
255,BE,MC,1
256,BE,MA,1
257,BE,NL,1
258,BE,NO,1
259,BE,PL,1
260,BE,PT,1
261,BE,MD,1
262,BE,RO,1
263,BE,RU,1
264,BE,SM,1
265,BE,SK,1
266,BE,SI,1
267,BE,ES,1
268,BE,SE,1
269,BE,CH,1
270,BE,TN,1
271,BE,TR,1
272,BE,UA,1
273,BE,GB,1
274,BZ,CA,1
275,BZ,CR,1
276,BZ,CU,1
277,BZ,DM,1
278,BZ,SV,1
279,BZ,GD,1
280,BZ,GT,1
281,BZ,HT,1
282,BZ,HN,1
283,BZ,JM,1
284,BZ,MX,1
285,BZ,NI,1
286,BZ,PA,1
287,TT,BZ,1
288,BZ,US,1
289,BJ,BW,1
290,BJ,BF,1
291,BJ,BI,1
292,BJ,CM,1
293,BJ,CF,1
294,BJ,TD,1
295,BJ,KM,1
296,BJ,CG,1
297,CI,BJ,1
298,BJ,DJ,1
299,BJ,GQ,1
300,BJ,ER,1
301,BJ,ET,1
302,BJ,GA,1
303,BJ,GM,1
304,BJ,GH,1
305,BJ,KE,1
306,BJ,LS,1
307,BJ,LR,1
308,BJ,MG,1
309,BJ,MW,1
310,BJ,ML,1
311,BJ,MR,1
312,BJ,MU,1
313,BJ,MZ,1
314,BJ,,1
315,BJ,RW,1
316,BJ,ST,1
317,BJ,SN,1
318,BJ,SC,1
319,BJ,SL,1
320,BJ,SO,1
